kappa_cc,kappa_link,n,true_mi,true_cmi,mi_mean,cmi_mean,cmi_bias,cmi_floor
0.6,0.9,300,1.3791037679359497,1.0298466696548283,1.399107056742705,1.0598686801924317,0.03002201053760345,0.17670105380406254
0.6,0.9,1000,1.3791037679359497,1.0298466696548283,1.381060105805388,1.0340870373928783,0.004240367738050033,0.08936320575102447
0.6,0.9,3000,1.3791037679359497,1.0298466696548283,1.3789030116237413,1.0317737768804347,0.001927107225606406,0.05808069344796607
0.6,0.9,10000,1.3791037679359497,1.0298466696548283,1.37905080549167,1.0304713414469981,0.0006246717921698508,0.03275891131788877
0.9,0.0,300,0.6392689586769218,2.7139028912007004e-16,0.647632395368076,0.016071366658454475,0.016071366658454204,0.01601627997218828
0.9,0.0,1000,0.6392689586769218,2.7139028912007004e-16,0.6400418121984964,0.007447899437254889,0.007447899437254618,0.004139259414023329
0.9,0.0,3000,0.6392689586769218,2.7139028912007004e-16,0.6399055816526469,0.0023856113837986332,0.0023856113837983617,0.0026786404501606027
0.9,0.0,10000,0.6392689586769218,2.7139028912007004e-16,0.6390575574464403,0.00020329233518633162,0.0002032923351860602,0.0009667564756289096
0.9,0.3,300,0.758974336140283,0.06637431463279904,0.7678247900008988,0.08379389839189443,0.017419583759095386,0.06682633352865534
0.9,0.3,1000,0.758974336140283,0.06637431463279904,0.7585488587139984,0.0706148582188806,0.004240543586081558,0.03263743632337034
0.9,0.3,3000,0.758974336140283,0.06637431463279904,0.7599106828216782,0.0683907905543177,0.0020164759215186567,0.022748229349058288
0.9,0.3,10000,0.758974336140283,0.06637431463279904,0.7574633375470313,0.0662272644598526,-0.00014705017294644462,0.01165380697103921
0.9,0.6,300,0.9314269342879375,0.19699290364796504,0.939531306369722,0.2147268929140206,0.017733989266055572,0.1121434588521342
0.9,0.6,1000,0.9314269342879375,0.19699290364796504,0.9330732857592426,0.20092014766491517,0.003927244016950132,0.06544532875928208
0.9,0.6,3000,0.9314269342879375,0.19699290364796504,0.9331036484254613,0.1998820707233036,0.0028891670753385668,0.03941071409854782
0.9,0.6,10000,0.9314269342879375,0.19699290364796504,0.9322452160222633,0.19650026184235586,-0.0004926418056091786,0.01961884137220271
0.9,0.9,300,1.1677098578108018,0.3961604649393913,1.189093172809605,0.42283787137653034,0.026677406437139062,0.14920883461086074
0.9,0.9,1000,1.1677098578108018,0.3961604649393913,1.1706617375890844,0.40198711880318216,0.005826653863790887,0.08266068890366518
0.9,0.9,3000,1.1677098578108018,0.3961604649393913,1.169234874731864,0.3965305634068508,0.0003700984674595009,0.052156809758175854
0.9,0.9,10000,1.1677098578108018,0.3961604649393913,1.1690808598415527,0.39829023781580636,0.0021297728764150814,0.024987746417715506
