rho,lam,n,true_mi,true_cmi,mi_mean,mi_floor,cmi_mean,cmi_bias,cmi_floor
0.25,0.25,300,0.0,0.0001761174011272182,1.7945242793948038e-05,0.0054804987759272525,0.00011539728511380325,-6.072011601341494e-05,0.00881363617609243
0.25,0.25,1000,0.0,0.0001761174011272182,-0.00011993485736103626,0.0014845582362357041,3.41837999830172e-05,-0.000141933601144201,0.0028815923194397608
0.25,0.25,3000,0.0,0.0001761174011272182,-1.946692228504505e-05,0.0005901212723364448,0.00012495333076003592,-5.116407036718227e-05,0.0010516455575065285
0.25,0.25,10000,0.0,0.0001761174011272182,1.204930077403779e-05,0.0001770401519973598,0.0001874246022922957,1.1307201165077521e-05,0.0005081735343287812
0.25,0.5,300,0.0,0.0007045556378451057,0.0003041760116336827,0.005711108497271159,0.0007963827292462033,9.182709140109768e-05,0.009189030213235983
0.25,0.5,1000,0.0,0.0007045556378451057,-1.2765814719975532e-06,0.0016471154967202892,0.0008010052676683191,9.644962982321341e-05,0.003810037125836556
0.25,0.5,3000,0.0,0.0007045556378451057,-2.915221326242846e-06,0.0005168646763657562,0.0008164300287285142,0.00011187439088340852,0.0018199849006401774
0.25,0.5,10000,0.0,0.0007045556378451057,1.0352903217395902e-05,0.00018006874907908275,0.0006769105392007152,-2.7645098644390478e-05,0.0008362258467856275
0.25,0.75,300,0.0,0.0015855730625531361,6.543117606274147e-05,0.008066254262258132,0.0016616871832856794,7.611412073254328e-05,0.011559528047171815
0.25,0.75,1000,0.0,0.0015855730625531361,-2.676796794788451e-05,0.0016425414053286103,0.0015745441718232433,-1.1028890729892788e-05,0.0048004799836542204
0.25,0.75,3000,0.0,0.0015855730625531361,7.804262522050456e-06,0.0005816679483799888,0.0015670925305670646,-1.8480531986071486e-05,0.0024162082132410906
0.25,0.75,10000,0.0,0.0015855730625531361,-1.5836607223557371e-06,0.00019096332308238847,0.0016239391842219687,3.8366121668832525e-05,0.0014406316011179481
0.25,1.0,300,0.0,0.0028196011057357584,-0.0002623713333473976,0.0062121401111325785,0.0025830783493464215,-0.00023652275638933688,0.011983162073153551
0.25,1.0,1000,0.0,0.0028196011057357584,-2.0237368392154614e-05,0.0022083810319457895,0.002721105264912974,-9.849584082278432e-05,0.0055436878113301665
0.25,1.0,3000,0.0,0.0028196011057357584,3.0393102542849373e-05,0.0006233805581867747,0.002983573680430414,0.00016397257469465566,0.003385950607334651
0.25,1.0,10000,0.0,0.0028196011057357584,9.720999911493316e-06,0.00022870785707569018,0.0027591411650627284,-6.045994067303004e-05,0.0017912512449508255
0.5,0.0,300,0.0,0.0,8.384056262440828e-05,0.0060865349067679335,-0.00029544441183910466,-0.00029544441183910466,0.008557287314060566
0.5,0.0,1000,0.0,0.0,0.0001108330558182523,0.0017640830604291533,0.00019683250186897515,0.00019683250186897515,0.0027019190873819737
0.5,0.0,3000,0.0,0.0,-5.107250633600386e-06,0.0004936896110071444,4.199427274238091e-06,4.199427274238091e-06,0.0009214796946302533
0.5,0.0,10000,0.0,0.0,-4.959897223599931e-06,0.00015706623764531876,-1.1468529141777357e-05,-1.1468529141777357e-05,0.00024362870549687492
